Complex_Sentence_ID,Annotated_Triples
CS051," (The cecum; is; a pouchlike structure),(small intestine; junction of; large intestine),(The cecum; is part of; colon)"
CS052,"(Mr Reidal; be; inaugural Principal),(He; managed; school),(He; managed in; 1953),(He; managed in; 1956),(Bill Walker; was; next Principal),(He; serve from; 1957),(He; serve to; 1959)"
CS053,"(He; gets; hopelessly lost),(He; returns to; his home town),(He; does not want; to go home),(He; visits; Marty Tothero),(He; visits; his old basketball coach)"
CS054,"(Pro Football Hall of Fame; located near; It),(Pro Football Hall of Fame; host; annual game ),( Pro Football Hall of Fame Game; held; annually ),(It; Hosts; High School Football Games),(It; Hosts; College Football Games)"
CS055,"(Pro Football Hall of Fame; next to; It),(Pro Football Hall of Fame; host; annual Pro Football Hall of Fame Game),(Game; be; annual Pro Football Hall of Fame Game),(It; host; high school games),(It; host; college games)"
CS056,"(Pro Football Hall of Fame; situated next to; It),(Pro Football Hall of Fame; host; It),(It; host; Pro Football Hall of Fame Game),(Pro Football Hall of Fame Game; be hosted; each year),(high school; hosts; games),(college; hosts; games)"
CS057,"(I; invest; time),(law; waste; time),(me; damaging; value created by me and others),(this law; damaging; value created by me and others)"
CS058,"(me; destroy; value created),(others; destroy; value created),(I; spend; hundreds of hours),(I; spend; thousands of hours),(I; photographing; monuments)"
CS059,"(Hubbard; suffer; back injury),(Hubbard; occur; 2009 season),(2009 season; with; Bayhawks),(He; be unable to play; 2009 season),(He; has not played in; MLL)"
CS060," (Hubbard; suffered; back injury),(Hubbard; occurred prior to; 2009 season),(He; unable to play; 2009 season),(He; unable to play; Bayhawks),(Hubbard; has not played in; MLL),(Hubbard; experienced; injury)"
CS061,"(Adolescents; strive for; freedoms),(Parents; challenged by; child's activity on social media),(Social media sites; have; predators),(Predators; are; increasingly present)"
CS062,"(Adolescents; strive for; freedoms),(Parents; be uncertain of; what their child is doing on social media sites),(Predators; are present; social media sites),(social media sites; have; Predators)"
CS063,"(pieces; come; various flavors),(packages; available in; individual foil),(They; come; in various flavors),(Foil packages; be available in; individual)"
CS064,"(foil packages; available in; pieces),(Pieces; come in; various flavors)"
CS065,"(Sellers; born in; Santa Monica; California),(He; grew up in; New York City),(He; moved; Rome)"
CS066,"(Sellers; born in; Santa Monica; California),(He; grew up in; New York City),(He; is from; New York City),(He; moved to; Rome)"
CS067,"(Sellers; Born; Santa Monica; California),(He; grew up in; New York City),(He; moved to; Rome)"
CS068,"(He; received; BA),(He; received; PhD),(University of Chicago; in; 1989),(He; PhD in; 1993),(UCLA; was; advisor),(Basil Gordon; was; advisor)"
CS069,"(She; walked out; wedding),(She; on; wedding),(Wedding; out on; She),(She; is; single),(She; holds; intense anger toward Richard),(Richard; ruined; wedding),(She; became; furious),(She; learned; pregnant),(Richard; told; her),(Richard; got; vasectomy)"
CS070,"(Nisbet; married; Isabella Frances Fairweather),(Isabella Frances Fairweather; married; Nisbet),(Nisbet; marry date; 1875),(Isabella Frances Fairweather; marry date; 1875),(Nisbet; died in; London),(Nisbet; died on; 1 April 1899),(Nisbet; have; long-term lung infection),(Nisbet; survived by; wife),(Nisbet; survived by; two children)"
CS071,"(Nisbet; married; Isabella Frances Fairweather),(Nisbet; married in; 1875),(He; die; London),(He; die; 1 April 1899),(He; had; long-term lung infection),(long-term lung infection; was had by; He),(He; survived by; wife),(He; survived by; two children)"
CS072,"(The Dark Knight; is; steel roller coaster),(Six Flags Great Adventure; operate; It),(The Dark Knight; is enclosed; )"
CS073,"(Sampras; won; match),(Sampras; won; four sets),(Sampras; announce; retirement),(Sampras; retirement; game),(game; announcement; 2003 US Open)"
CS074," (Sampras; won; match),(Sampras; won; four sets),(He; announce; retirement),(He; retire; 2003 US Open)"
CS075," (Low utility people; should not exist; ),(People; have low utility; )"
CS076,"(statement; says; Low utility people should not exist),(statement; has little bearing on; practical morals),(low utility people; had not, existed)"
CS077,"(New England political interests; feared; growth of the West),(New England political interests; established; themselves),(growth of the West; feared; New England political interests),(A majority; oppose; purchase)"
CS078,"(New England political interests; feared; growth of the West),(A majority of the Federalist Party; opposed; purchase)"
CS079," (Mussolini; wanted; Cameroon),(Mussolini; wanted; corridor to Libya),(Mussolini; wanted to control; Cameroon),(Mussolini; wanted to control; corridor),(Cameroon; have a corridor between; Libya),(He; wanted to take over; Cameroon),(He; create a passageway between; Libya),(Cameroon; create a passageway between; Libya),(Mussolini; have ambitions; gain Cameroon),(Mussolini; have ambitions; route linking it to Libya)"
CS080,"(Mussolini; sought to acquire; Cameroon),(He; want; corridor),(corridor; link; Cameroon),(corridor; link; Libya)"
CS081,"(These; convert to; Catholicism),(These; flee; Spanish Inquisition),(They; live in; New World),(They; intermarried; Native Americans),(They; intermarried; old Christians),(American Southwest; populated by; groups),(groups; populated; American Southwest)"
CS082,"(converts; fled; Spanish Inquisition),(They; came; New World),(They; live; New World),(They; intermarried; Native Americans),(They; intermarried; old Christians),(The American Southwest; was populated by; these people),(These people; populated; The American Southwest)"
CS083,"(He; attended; Dartmouth College),(He; become associated with; Bishop Museum),(He; Spend; 60 years),(He; Roam; Pacific),(He; sought out; Polynesian settlement sites),(He; excavated; relics),(He; photographed; petroglyphs)"
CS084,"(He; attended; Dartmouth College),(He; became associated with; Bishop Museum),(He; spent; 60 years),(He; roaming; Pacific),(He; sought out; Polynesian settlement sites),(Polynesian settlement sites; sought out by; He),(He; excavated; relics),(He; photographed; petroglyphs)"
CS085,"(Catharina Ledeboer; create; series),(Viacom International; produce; series),(Tatiana Rodriguez; executive produces; the series)"
CS086," (Catharina Ledeboer; create; series),(Viacom International; produced; series),(Tatiana Rodriguez; is; executive producer),(executive producer; of; series)"
CS087,"(A; consists of; straight sections),(A; consists of; sharp turns),(Skiers; are reflected; from the edges of the run),(In theory; follows; complementary angles)"
CS088,"(Duxford; houses; airfield),(collection; of; aircraft),(airfield; houses; collection),(UK; have; most significant aircraft collection),(most significant aircraft collection; locates in; UK),(Duxford airfield; is now home to; many unique aircraft),(many unique aircraft; are located at; Duxford airfield)"
CS089,"(Duxford; is home to; a large number of aircraft),(collection; be; one of the most significant),(These aircraft; are; remarkable),(These aircraft; are; unique)"
CS090,"(Jill; made; blueberry BBQ chicken),(Christina; thought; chicken had great flavor),(Gratin; was; delicious),(Gratin; had; too much cream and herbs)"
CS091,"(Jill; made; blueberry BBQ chicken),(Christina; thought; chicken had great flavor),(The Gratin; was; delicious)1),(It; have; too much cream) 2),(It; have; too much herbs)"
CS092,"(She; feels; torn),(Her; has; grandmother),(grandmother; is; dying),(She; feels; responsible),(The fairy godmother; has; replacement),(Fairy tale world; in; good hands)"
CS093,"(She; feels; torn),(Her; has; grandmother),(Grandmother; is; dying),(She; feel; killing),(The fairy godmother; found; a replacement),(The fairy godmother; can rest; .),(The fairy tale world; is in; good hands)"
CS094,"(The Pechenegs; fought; horse archers),(They; Fired; Arrows),(They; rely on; wagon laager),(It; serve; rallying point),(It; serve; last defence)"
CS095," (French Army; had; 47 divisions),(January 1914; had; 47 divisions),(French troops; were composed of; 777000),(colonial troops; were composed of; 47000),(The troops; were organized into; 21 regional corps),(Cavalry; Attached; There),(Field Artillery; Attached; There)"
CS096,"(McDuff; chose to use; piece of broomstick),(McDuff; chose to use; car),(He; choked; Sullivan),(Green; dumped; body),(McDuff; dumped; body),(Green & McDuff; dumped; bushes)"
CS097," (The Dan Ryan Expressway; was constructed; in the 1960s),(Hardin Square; was; demolished),(Stanford Park; was; demolished),(Residents of Chinatown; waited for; a replacement),(a replacement; waited for; 30 years)"
CS098," (Dan Ryan Expressway; constructed; 1960s),(1960s; construct; Dan Ryan Expressway),(Hardin Square; demolished; Stanford Park),(Residents; waited; 30 years),(Chinatown; had residents waiting; 30 years)"
CS099,"(Hotaru; is; hero),(Hotaru; from; Seido),(He; devotes himself to; preserving law and order),(He; be described; as a zealot)"
CS100,"(Hotaru; is; hero),(Hotaru; from; Seido),(He; devote; himself),(He; preserve; law and order),(He; be described as; a zealot)"
CS101,"(Multiple births; occur; often),(Rams; bred for; raising lambs for slaughter),(Rams; raising; lambs for slaughter),(Commercial operations; rely on; multiple births),(Rams; Used For; Siring Lambs for Slaughter)"
CS102,"(Multiple births; occur; often),(Rams; produce; Lambs),(Lambs; be used for; Slaughter),(Commercial operations; benefit from; multiple births),(Rams; be bred; for specific purposes),(Rams; have purpose; specific)"
CS103,"(1876 presidential election; be; 23rd quadrennial election),(1876 presidential election; held; November 7),(The election; was held in; United States)"
CS104," (The 1876 United States presidential election; took place on; November 7th),(United States; participated in; 1876 United States presidential election),(23rd quadrennial presidential election in America; held in; 1876),(US; held; presidential election),(presidential election; held in; 1876),(1876 presidential election; be; November 7th),(November 7th; relate to; 1876 presidential election)"
CS105,"(John Olney; reported; ketamine caused irreversible changes in two small areas of the rat brain),(ketamine; caused; irreversible changes in two small areas of the rat brain),(two small areas of the rat brain; in; 1989),(Human; have; significant differences in metabolism),(Human; have; differenes in metabolism from the rat brain),(Rat brain; have; differences in metabolism from human brain)No possible triples can be extracted from this sentence."
CS106," (It; founded in; 1994),(Kevin Wentworth Preston; founded; it),(It; is based in; village of Pinkney),(village of Pinkney; is location of ; It),(It; is near; Malmesbury),(Malmesbury; is part of; Wiltshire),(Cotswolds; is in; area of England)"
CS107,"(Vidal; taught; aeronautics),(Vidal; taught at; West Point),(He; be; one of the first Army Air Corps pilots),(Vidal; was a pioneer in; commercial aviation industry)"
CS108,"(Vidal; taught; aeronautics),(Vidal; taught; West Point),(aeronautics; taught at; West Point),(He; be ; one of the first Army Air Corps pilots),( He ; join ; Army Air Corps),(He; be; later a pioneer),(He; be; a pioneer in commercial aviation industry),(later a pioneer; be; in commercial aviation industry)"
CS109,"(LSSU; finished; second),(LSSU; in; CCHA),(They; lost to; Harvard),(In the 1989 NCAA Tournament; was; the quarterfinals),(Harvard; won; national championship),(1989; year of; national championship)"
CS110,"(Wiccans; believe in; afterlife),(Reincarnation; is a teaching of; Wicca),(The New Forest coven; originate; 1930s)"
CS111," (Hundreds of soldiers; are standing; in front of the palace),(Soldiers; are; hundreds),(Palace; is in front of; hundreds of soldiers),(soldiers; randomly firing; crowd)"
CS112,"(Parke; played for; FC Delco),(He; play; college soccer at Drexel University),(Drexel University; host; college soccer),(MetroStars; drafted; him),(him; drafted by; MetroStars),(2004 MLS SuperDraft; last pick of; him)"
CS113,"(Parke; played for; FC Delco),(He; played; college soccer),(He; attended; Drexel University),(MetroStars; drafted; him),(He; be; last overall pick of SuperDraft)"
CS114,"(Parke; played; FC Delco),(He; played; four years of college soccer),(He; played at; Drexel University),(Drexel University; have; college soccer),(He; drafted by; MetroStars),(MetroStars; drafted; Him),(He; drafted in; 2004),(He; chosen with; 60th overall pick),(He; chosen with; last overall pick),(He; chosen with; MLS SuperDraft)"
CS115," (Room; filled with; items related to bomb production),(Room; filled with; newspaper articles about LTTE bombings in Sri Lanka),(Colombo; is; hectic)"
CS116,"(LTTE; use; materials),(LTTE; bomb; Sri Lanka),(newspaper articles; describe; LTTE bombings),(Colombo; cuts to; morning)"
CS117,"(room; full of; bomb making material),(room; full of; newspaper articles),(Colombo; be in; Typical Morning),(Room; starts in; Film),(Newspaper articles; are about; LTTE bombings in Sri Lanka),(LTTE bombings; occurred in; Sri Lanka),(Colombo; be; busy),(Colombo; be; in),(in; refer; morning)"
CS118," (The Monument; was destroyed; in 1940),(Monument; was destroyed; 1940),(Nazis; destroyed; it),(Nazis; invaded; Poland),(visible restoration; was done in; 1955)"
CS119,"(the games; sold; 60000 copies),(60000 copies; by; February),(games; sold; 100000 copies)"
CS120,"(Peter; punched; Manson),(Peter; punched; face),(Lois; accuse; Manson),(Manson; destroy; Lois' son),(They; found; Manson)"
CS121,"(Peter; punched; Manson),(Manson; punched by; Peter),(Peter; punched; face),(face; punched by; Peter),(Lois; accused; Manson),(They; found; Manson),(Manson; destroyed; son)"
CS122,"(Most prestigious race in NASCAR; is; Daytona 500),(Daytona 500; is the running of; 56th),(This; was the running of; Daytona 500)"
CS123,"(she; went to; India),(She; lived in; Buddhistic monastery),(She; returned to; Israel),(She; returned in; 2001)"
CS124,"(she; ended; contract),(she; went; India),(She; lived in; Buddhistic monastery),(She; lived for; a year),(she; returned; Israel)"
CS125,"(J; get married; Mexico),(Linda; get married; Mexico).(They; come back; to their house),(They; come back; on their wedding day)"
CS126,"(J; get married; Mexico),(Linda; get married; Mexico),(they; return; house),(they; wed; on their wedding day)"
CS127,"(Yarrabee Flats; is located in; South Yarra),(Yarrabee Flats; is located in; Melbourne),(Yarrabee Flats; is located in; Australia),(building; consists of; five flats),(five flats; part of; building),(Frederick Romberg; design; Yarrabee Flats),(Yarrabee Flats; located at; 44 Walsh Street)"
CS128,"(Yarrabee Flats; is located in; South Yarra; Melbourne; Australia),(It ; consists; of five flats),(Frederick Romberg; design; it),(He; was; Australian architect)"
CS129,"(town; be; unique),( Fore Street; has; stream),(Stream; running on; either side),(One; flows into; Bristol Channel),(The; reaches; English Channel)"
CS130,"(Local folklore; claims; there is a stream running along Fore Street),(stream; flows into; Bristol Channel),(stream; reaches; English Channel),(Fore Street; has; two streams),(two streams; running on; either side),(town; has; unusual feature),(local folklore; according to; unusual feature)"
CS131,"1),(Exhaust gases; must not be cooled; below a certain temperature),(The risk; of; sulphur and nitrogen oxides condensing),(sulphur and nitrogen oxides; is present; risk),(Acids; could damage; ID Fans),(exhaust gases; must be avoided; Cooling)"
CS132,"(Exhaust gases; Had; Temperature limit),(Sulphur; form; Acids),(Nitrogen Oxides; form; Acids),(Acids; damage; ID Fans)"
CS133,"(Hardwick Court Farm; located in; Chertsey; Surrey),(Hardwick Court Farm; be established; during the Saxon period),(Hardwick Court Farm; is; large farm)"
CS134,"(Hardwick Court Farm; is in; Chertsey),(Chertsey; is in; Surrey),(Farm; established; Saxon period),(Hardwick Court Farm; is; large farm)"
CS135,"(Masood; have; criminal convictions),(His; first conviction; 1983),(His; be for; criminal damage),(He; convicted of with; knife possession in 2003),(knife possession in 2003; was; conviction)"
CS136,"(Masood; known to; police),(He; had; number of prior criminal convictions),(His; oldest conviction was; criminal damage in 1983),(His; most recent conviction; knife possession),(His; have conviction; December 2003)"
CS137,"(Allergy; stem from; POIS),(Hyposensitization therapy; cure; effects),(allergen immunotherapy; cure; effects),(post orgasmic illness syndrome; is called; This condition)"
CS138,"(POIS; is called; condition),(Allergy; originate from; POIS),(POIS; originate from; Allergy),(Hyposensitization therapy; cure; effects of POIS),(Allergen immunotherapy; cure; effects of POIS)."
CS139,"(She; used; it),(She; burst out; tanker),(She; destroyed; White Whale members),(White Whale members; nearby; She),(She; formed; giant robotic suits of armour),(She; armoured; herself),(She; armoured; teammates)"
CS140,"(He; allowed to return to; South Africa),(Emily Booth; built; house),(Emily Booth; had built; house),(House; was some considerable distance from; Cape Town),(he; be discouraged; active involvement in African affairs)"
CS141,"(The Council; was registered; in India),(Its; headquarters is in; New Delhi),(Its; headquarters is in; India)"
CS142,"(The Council; registered; India),(Its; headquarters-is; New Delhi),(India; registered; it),(It; registered; India),(Its; headquarters is in; India's capital city)"
CS143,"(Her; began; 1996),(She; convicted of; federal charges of tax evasion),(She; convicted of; September 1996),(She; sentenced; 37 months in prison)"
CS144,"(Fairmount Line; undergoing; major rehabilitation),(Boston; construct; four new stations),(Four new stations; be; constructed)#NAME? (Wachusett Station; is the new western terminus of; Fitchburg Line)"
CS145,"(The Fairmount Line; is being; renovated),(Boston; build; 4 new stations),(Four new stations; be built in; Boston),(Wachusett Station; work underway; new Fitchburg Line terminus),(new Fitchburg Line terminus; located; Wachusett Station)"
CS146,"(The Fairmount Line; is being; renovated),(Boston; build; four new stations),(Four new stations; being built in; Boston),(Fitchburg Line; have; new western terminus),(Work; begun; on),(Wachusett Station; is; the new western terminus)"
CS147," (Human; Navigate; Coral Sea),(Activity; Traditional; Navigation),( Queensland; have; 10 major ports),(ports; located; on the Queensland coast)"
CS148,"(Navigation; is; activity),(Navigation; has been; traditional activity),(Coral Sea; has; navigation),(Queensland; has; 10 major ports),(Queensland coast; has; 10 major ports)"
CS149," (Hakomi; is; a method),(Hakomi; is for; helping people),(It; uses; core material),(It; changing; core beliefs),(It; transform; their way of being in the world)"
CS150,"(Hakomi; is; method of transformation),(People; Help; Change Their Beliefs),(Goal; Achieve; Core Material),(People; help; change their way of being in the world)"
CS151,"(Everett; born in; Charleville; Queensland),(He; moved to; Brisbane),(He; joined; singing group),(He; as; teen)"
CS152,"(Editor; can be reconfigured using; Emacs Lisp),(Emacs Lisp; is; simple language),(Emacs Lisp; is; easy to learn),(Changes; require; editor to be restarted or recompiled),(Changes; require; Lisp code),(Lisp code; do not require; editor to be restarted or recompiled)"
CS153,"(Emacs Lisp; customizes; Almost all editor functionalities),(Emacs Lisp; is easy to; learn),(Changes; made with; Lisp),(Lisp; require; editor restart),(Lisp; require; recompilation)"
CS154,"(The Editor; can be reconfigured using Emacs Lisp; Almost all of the functionality),(Emacs Lisp; is a; simple and easy to learn language),(Changes; require; editor),(editor; restarted; not),(editor; recompiled; not)"
CS155,"(Mr Justice Sayed Zahid Hussain; has taken; an oath),(He; is the Chief Justice of; Lahore High Court)"
CS156," (Williams; be born in; Lansdowne; Cape Town; South Africa),(Lansdowne; be located in; Cape Town; South Africa),(Cape Town; be located in; South Africa),(Williams; grew up in; Mitchells Plain),(Mitchells Plain; established; under apartheid),(apartheid; established; Mitchells Plain)"
CS157,"(Marques de Sousa; went to; Rio de Janeiro),(deposed president; went to; Rio de Janeiro),(central government; offer; help),(help; could not be offered; central government),(Nation; Face; Rebellions and Riots),(Nation; Erupt; Rebellions and Riots)"
CS158,"(She; was born in; Los Angeles; California),(She; grew up in; Garden Grove),(She; grew up in; California),(She; attended; California State University; Fullerton)"
CS159,"(She; was born in; Los Angeles; California),(She; grew up in; Garden Grove),(She; lived in; California),(She; attended; California State University; Fullerton)"
CS160,"(Beasley; shot; August 2012),(He; drove; himself),(himself; to; hospital),(He; was released; next day)"
