Simple_Sentence_ID,Complex_Sentence_ID,Annotated_Triples,
CS019-SIM-3,CS019,"(Invasive Medical Procedures,have,risks)",
CS019-SIM-4,CS019,"(Medical device implantation, carries, similar complications), (Medical device implantation, carries, other invasive medical procedures), (Other invasive medical procedures, carries, similar complications)",
CS020-SIM-1,CS020,"(medical devices, have, complications)",
CS020-SIM-2,CS020,"(Infection, cause, Pain), (Infection, cause, Inflammation), (Inflammation, cause, Pain), (Procedure, cause, Infection), (Procedure, cause, Inflammation), (Procedure, cause, Pain)",
CS020-SIM-3,CS020,"(Invasive medical procedures, carry, risks)",
CS020-SIM-4,CS020,"(Implantation process,associated with,Complications)",
CS021-SIM-1,CS021,"(Medical devices, pose, risks of complications)",
CS021-SIM-2,CS021,"(infection, include, Complications) ; (inflammation, include, Complications); (pain, include, Complications)",
CS021-SIM-3,CS021," (Medical procedure,carries,risk of infection)  (Medical procedure,carries, risk of inflammation)  (Medical procedure,carries, risk of pain)",
CS021-SIM-4,CS021," (Medical devices, cause, pain)  (Medical devices, cause, infection)  (Medical devices, cause, inflammation)",
CS022-SIM-1,CS022,"(Reduce cost, will, This upgrade) (Increase flexibility, will, This upgrade)",
CS022-SIM-2,CS022,"(Any manufactured CBC, can be configured, for zero to four solid boosters)",
CS022-SIM-3,CS022,"(performance loss, necessitate, standardized CBC)",
CS023-SIM-1,CS023,"(A Control pitcher, has, good control of his pitches)",
CS023-SIM-2,CS023,"(A Control pitcher, issues, below average number of bases on balls)",
CS023-SIM-3,CS023,"(A Control pitcher, is skilled at, throwing his pitches)",
CS024-SIM-1,CS024,"(A Control pitcher, has, good control), (A Control pitcher, of, his pitches)",
CS024-SIM-2,CS024,"(A Control pitcher, limits, number of bases on balls)",
CS024-SIM-3,CS024," (A pitcher, can be, a Control pitcher)",
CS024-SIM-4,CS024,"(Control pitcher, exhibit, good control of pitches)",
CS025-SIM-1,CS025,"(Long Yun, is, ethnic Yi General)",
CS025-SIM-2,CS025,"(Long Yun, become, Governor of Yunnan)",
CS025-SIM-3,CS025,"(Long Yun, be, cousin of Lu Han)",
CS026-SIM-1,CS026," (Long Yun,be,ethnic Yi General), (ethnic Yi General,belong to,Long Yun)",
CS026-SIM-2,CS026," (Long Yun, became, Governor of Yunnan)  (Governor of Yunnan, was, Long Yun)",
CS026-SIM-3,CS026,"(Long Yun, is a cousin of, Lu Han) (Lu Han, is a cousin of, Long Yun)",
CS027-SIM-1,CS027," (Carnaval music, is written for, occasion)",
CS027-SIM-2,CS027,"(Carnaval Music, is easy to dance to, null)",
CS028-SIM-1,CS028,"(Carnaval music, is often written for,the occasion)",
CS028-SIM-2,CS028,"(Carnaval Music, is easy to dance to,NULL)",
CS029-SIM-1,CS029," (Carnaval music, is written for, the occasion)",
CS029-SIM-2,CS029,"(Carnaval Music, is easy to dance to, )",
CS030-SIM-1,CS030,"(He, has been, a full professor at ETH Zurich) (He, has been at, ETH Zurich) (He, has been since, 2003)",
CS030-SIM-2,CS030,"(He, has been, Director of the Institute for Mathematical Research at ETH), (Director of the Institute for Mathematical Research at ETH, since 2009, He)",
CS031-SIM-1,CS031,"(He,has been, full professor at ETH Zurich), (He,since, 2003), (full professor at ETH Zurich, since, 2003)",
CS031-SIM-2,CS031,"(He,has been,Director of the Institute for Mathematical Research at ETH), (He,has been,Director since 2009), (Director of the Institute for Mathematical Research at ETH,is,He)",
CS032-SIM-1,CS032,"(The winners,met,2005 National League Championship Series) (Division Series,met,2005 National League Championship Series) (two Division Series,met,2005 National League Championship Series)",
CS032-SIM-2,CS032,"(The winner, became, National League champion)",
CS032-SIM-3,CS032,"(National League champion, face, American League champion)(2005 World Series, feature, National League champion)(2005 World Series, feature, American League champion)",
CS033-SIM-1,CS033,"(The winners, met in, 2005 National League Championship Series), (Two Division Series, met in, 2005 National League Championship Series)",
CS033-SIM-2,CS033,"(winner, became, National League champion)",
CS033-SIM-3,CS033,"(National League, face, American League), (2005 World Series, champion, National League), (2005 World Series, champion, American League)",
CS034-SIM-1,CS034,"(Alauddin,have,love scenes), (Padmini,have,love scenes), (rumours,are about,Alauddin and Padmini's love scenes)",
CS034-SIM-2,CS034,"(Shri Rajput Karni Sena, protest, This)",
CS034-SIM-3,CS034,"(members,accuse,Bhansali), (organization,accuse,Bhansali), (Bhansali,distort,history)",
CS035-SIM-1,CS035,"(I, got, computer), (I, was, 7)",
CS035-SIM-2,CS035," (It, is, Windows Vista Laptop) (Windows Vista Laptop, is, Inspiron 1525)",
CS035-SIM-3,CS035,"(I, get, Toshiba Satellite laptop),(Toshiba Satellite laptop, have, Windows 7)",
CS035-SIM-4,CS035,"(The casing of the Toshiba, started to split, within a year) (The casing of the Toshiba, had an effect on, Toshiba) (Toshiba, was affected by, splitting of the casing)",
CS036-SIM-1,CS036,"(I, got, first computer), (I, was, 7)",
CS036-SIM-2,CS036," (""It"", ""was"", ""Windows Vista Laptop, Inspiron 1525"")  (""Windows Vista Laptop"", ""was"", ""Inspiron 1525"")",
CS036-SIM-3,CS036,"(I, got, Toshiba Satellite laptop), (Toshiba Satellite laptop, with, Windows 7)",
CS036-SIM-4,CS036,"(casing, started to split, within a year)",
CS037-SIM-1,CS037,"(NPAS2, paralogous to, CLOCK)",
CS037-SIM-2,CS037," (CLOCK, plays, key role)  (key role, in maintaining, mammalian circadian rhythms)",
CS037-SIM-3,CS037,"(NPAS2, has a role in, brain), (NPAS2, related to, circadian rhythms)",
CS037-SIM-4,CS037,"(NPAS2, generate ,mammalian circadian rhythms),(NPAS2, maintain , mammalian circadian rhythms)",
CS038-SIM-1,CS038,"(NPAS2,be paralogous to,CLOCK)",
CS038-SIM-2,CS038," (CLOCK, is, key protein) (CLOCK, involves, maintenance of circadian rhythms in mammals)",
CS038-SIM-3,CS038,"(NPAS2,role,generator) (NPAS2,role,maintainer) (NPAS2,thought to be,generator)(NPAS2,thought to be,maintainer) (mammalian circadian rhythms,maintained by,NPAS2)",
CS039-SIM-1,CS039,"(NPAS2, paralogous to, CLOCK)",
CS039-SIM-2,CS039,"(Clock, Maintain, Circadian Rhythms)",
CS039-SIM-3,CS039,"(NPAS2, be, generator and maintainer of mammalian circadian rhythms),  (NPAS2, role, generator and maintainer of mammalian circadian rhythms),(brain, have, NPAS2)",
CS040-SIM-1,CS040,"(Etanercept, is,  biologic)",
CS040-SIM-2,CS040,"(Chemical formulations, have, different laws)(Biologics, have, different laws)",
CS040-SIM-3,CS040," (The United States, does not allow, generic biologics)  (generic biologics, be produced, not allowed)",
CS041-SIM-1,CS041,"(Watanabe,stated,Soka Gakkai) (Soka Gakkai,has challenged,conventional ideas and structures in Japan)",
CS041-SIM-2,CS041,"(Watanabe, stated, Soka Gakkai)(Soka Gakkai, has challenged, since its beginnings)",
CS041-SIM-3,CS041,"(Makiguchi, question, imperial system)",
CS041-SIM-4,CS041,"(Makiguchi, question, popular organizations)",
CS041-SIM-5,CS041,"(Makiguchi, questioned, public education), (Makiguchi, questioned, armed forces), (Makiguchi, questioned, religious authority)",
CS042-SIM-1,CS042,"(Makiguchi, question, imperial system), (Makiguchi, question, established institutions)",
CS042-SIM-2,CS042,"(Soka Gakkai, challenge, established notions and hierarchies), (Soka Gakkai, begin, its beginnings)",
CS042-SIM-3,CS042,"(Soka Gakkai, has disrupted, traditional structures in Japan), (Watanabe, stated, that the Soka Gakkai has disrupted traditional structures in Japan since its founding.)",
CS043-SIM-1,CS043,"(Merqury Quaye,found,The Awards)",
CS043-SIM-2,CS043," (The Awards, is, annual program)  (The Awards, is, annual)",
CS043-SIM-3,CS043," (It, rewards, Radio DJs)  (It, celebrates, Mobile DJs)  (It, celebrates, Club DJs)",
CS043-SIM-4,CS043," (Its, foster, development)  (It, foster, Ghana music industry)  (Ghana music industry, develop, It)",
CS044-SIM-1,CS044,"(He, released, results), (He, released, day)",
CS044-SIM-2,CS044,"(report, take, one day)",
CS045-SIM-1,CS045,"(He, opened, laboratory of ceramics), (laboratory of ceramics, in, Umbria)",
CS045-SIM-2,CS045,"(He, operates, between art and craft)",
CS045-SIM-3,CS045,"(He, does, personal exhibitions), (He, especially in, Holland)",
CS045-SIM-4,CS045,"(He, participates, numerous collectives) (He, is a member of, numerous collectives)",
CS046-SIM-1,CS046,"(Waldo, went to, Rome), (A disciple, went to, Rome), (Waldo and a disciple, went to, Rome), (Waldo and a disciple, went in, 1179)",
CS046-SIM-2,CS046,"(Pope Alexander III, welcome, them), (them, be welcomed by, Pope Alexander III), (Pope Alexander III, be in, Rome)",
CS046-SIM-3,CS046,"(Roman Curia, welcomed, them)",
CS047-SIM-1,CS047,"(Waldo,went to,Rome); (one of his disciples,went to,Rome)",
CS047-SIM-2,CS047," (They, were welcomed by, Pope Alexander III) (Pope Alexander III, welcomed, They) (Pope Alexander III, and, Roman Curia)",
CS048-SIM-1,CS048," (The Cliff Bridge, opened, 1827)  (1827, opened, The Cliff Bridge)",
CS048-SIM-2,CS048,"(It, improved, access)",
CS048-SIM-3,CS048,"(It,was,a foretaste) (a foretaste,of,ambitious plans) (ambitious plans,of,It)",
CS049-SIM-1,CS049," (The Cliff Bridge, opened, 1827)  (1827, opened, The Cliff Bridge)",
CS049-SIM-2,CS049,"(Cliff Bridge, improved, Access)",
CS049-SIM-3,CS049,"(There, be, ambitious plans) (ambitious plans, be, ahead)",
CS050-SIM-1,CS050," (In,opened,Cliff Bridge) (1827,opened,Cliff Bridge)",
CS050-SIM-2,CS050,"(It, improved, access)",
CS050-SIM-3,CS050,"(It, be, foretaste) (Foretaste,of,ambitious plans) (It,have, ambitious plans)",
CS051-SIM-1,CS051," (The cecum, is, a pouchlike structure)",
CS051-SIM-2,CS051,"(small intestine, junction of, large intestine)",
CS051-SIM-3,CS051,"(The cecum, is part of, colon)",
CS052-SIM-1,CS052,"(Mr Reidal, be, inaugural Principal)",
CS052-SIM-2,CS052,"(He, managed, school), (He, managed, 1953), (He, managed, 1956), (school, managed, He), (1953, managed, He), (1956, managed, He)",
CS052-SIM-3,CS052," (Bill Walker, was, next Principal)",
CS052-SIM-4,CS052,"(He, serve from, 1957), (He, serve to, 1959)",
CS053-SIM-1,CS053,"(He, gets, hopelessly lost)",
CS053-SIM-2,CS053,"(He, returns to, his home town)",
CS053-SIM-3,CS053,"(He, does not want, to go home)",
CS053-SIM-4,CS053,"(He, visits, Marty Tothero)(He, visits, his old basketball coach)",
CS054-SIM-1,CS054,"(Pro Football Hall of Fame, located_near, It)",
CS054-SIM-2,CS054," ( Pro Football Hall of Fame, host, annual game ) ( Pro Football Hall of Fame Game, held in, annual )",
CS054-SIM-3,CS054,"(It, Hosts, High School Football Games) (It, Hosts, College Football Games)",
CS055-SIM-1,CS055,"(Pro Football Hall of Fame, next to, It)",
CS055-SIM-2,CS055," (Pro Football Hall of Fame, host, annual Pro Football Hall of Fame Game)  (Game, be, annual Pro Football Hall of Fame Game)",
CS055-SIM-3,CS055,"(It, host, high school games); (It, host, college games)",
CS056-SIM-1,CS056,"(Pro Football Hall of Fame,situated next to,It)",
CS056-SIM-2,CS056,"(Pro Football Hall of Fame, host, It), (It, host, Pro Football Hall of Fame Game), (Pro Football Hall of Fame Game, be hosted, each year)",
CS056-SIM-3,CS056,"(hosts,high_school, games), (hosts, college, games)",
CS057-SIM-1,CS057,"(I,invest,time), (law,waste,time)",
CS057-SIM-2,CS057,"(me,damaging,value created by me and others), (this law,damaging,value created by me and others)",
CS058-SIM-1,CS058,"(me,destroy,value created) (others,destroy,value created)",
CS058-SIM-2,CS058,"(I,spend,hundreds of hours), (I,spend,thousands of hours), (I,photographing,monuments)",
CS059-SIM-1,CS059,"(Hubbard, suffer, back injury), (Hubbard, occur, 2009 season), (2009 season, with, Bayhawks)",
CS059-SIM-2,CS059,"(He,be unable to play,2009 season)",
CS059-SIM-3,CS059,"(He, has not played in, MLL)",
CS060-SIM-1,CS060," (Hubbard, suffered, back injury)  (Hubbard, occurred_prior_to, 2009 season)",
CS060-SIM-2,CS060,"(He, unable to play, 2009 season), (He, unable to play, Bayhawks)",
CS060-SIM-3,CS060,"(Hubbard, has_not_played_in, MLL), (Hubbard, experienced, injury)",
CS061-SIM-1,CS061,"(Adolescents, strive for, freedoms)",
CS061-SIM-2,CS061,"(Parents, challenged_by, unknowns_of_child's_activity_on_social_media_sites)",
CS061-SIM-3,CS061,"(Social media sites, have, predators) (Predators, are, increasingly present)",
CS062-SIM-1,CS062,"(Adolescents, strive for, freedoms)",
CS062-SIM-2,CS062,"(Parents,be uncertain of,what their child is doing on social media sites)",
CS062-SIM-3,CS062," (Predators,are present,social media sites)  (social media sites,have,Predators)",
CS063-SIM-1,CS063,"(pieces, come, various flavors)",
CS063-SIM-2,CS063,"(packages, available in, individual foil)",
CS063-SIM-3,CS063,"(They, come, in various flavors)",
CS063-SIM-4,CS063,"(Foil packages,be available in,individual)",
CS064-SIM-1,CS064,"(foil packages, available in, pieces)",
CS064-SIM-2,CS064,"(Pieces,come in, various flavors)",
CS065-SIM-1,CS065,"(Sellers, born in, Santa Monica, California)",
CS065-SIM-2,CS065,"(He, grew up in, New York City)",
CS065-SIM-3,CS065,"(He, moved, Rome)",
CS066-SIM-1,CS066,"(Sellers, born_in, Santa Monica, California)",
CS066-SIM-2,CS066,"(He, grew up in, New York City) (He, is from, New York City)",
CS066-SIM-3,CS066,"(He, moved, Rome)",
CS067-SIM-1,CS067,"(Sellers, Born, Santa Monica, California)",
CS067-SIM-2,CS067," (He, grew up in, New York City)",
CS067-SIM-3,CS067,"(He, moved, Rome)",
CS068-SIM-1,CS068,"(He, received, BA), (He, received, PhD), (University of Chicago, in, 1989), (He, PhD in, 1993), (UCLA, was, advisor), (Basil Gordon, was, advisor)",
CS069-SIM-1,CS069,"(She,walked out,wedding) (She,on,wedding) (Wedding,out on,She)",
CS069-SIM-2,CS069,"(She, is, single)",
CS069-SIM-3,CS069,"(She, holds, intense anger toward Richard)",
CS069-SIM-4,CS069,"(Richard,ruined,wedding)",
CS069-SIM-5,CS069,"(She,became,furious), (She, learned,pregnant)",
CS069-SIM-6,CS069,"(Richard,told,her) , (Richard,got,vasectomy)",
CS070-SIM-1,CS070,"(Nisbet, married, Isabella Frances Fairweather), (Isabella Frances Fairweather, married, Nisbet), (Nisbet, marry date, 1875), (Isabella Frances Fairweather, marry date, 1875)",
CS070-SIM-2,CS070,"(Nisbet, died in, London), (Nisbet, died on,1 April 1899)",
CS070-SIM-3,CS070,"(Nisbet,have,long-term lung infection)",
CS070-SIM-4,CS070,"(Nisbet, survived by, wife) (Nisbet, survived by, two children)",
CS071-SIM-1,CS071,"(Nisbet,married,Isabella Frances Fairweather)(Nisbet,married in,1875)",
CS071-SIM-2,CS071,"(He, die, London) (He, die, 1 April 1899)",
CS071-SIM-3,CS071,"(He, had, long-term lung infection) (long-term lung infection, was_had_by, He)",
CS071-SIM-4,CS071,"(He,survived_by,wife)(He,survived_by,two_children)",
CS072-SIM-1,CS072,"(The Dark Knight, is, steel roller coaster)",
CS072-SIM-2,CS072,"(Six Flags Great Adventure, operate, It)",
CS072-SIM-3,CS072,"(The Dark Knight, is enclosed, )",
CS073-SIM-1,CS073,"(Sampras, won, match), (Sampras, won, four sets)",
CS073-SIM-2,CS073,"(Sampras, announce, retirement), (Sampras, retirement, game), (game, announcement, 2003 US Open)",
CS074-SIM-1,CS074," (Sampras, won, match) (Sampras, won, four sets)",
CS074-SIM-2,CS074,"(He,announce,retirement), (He,retire,2003 US Open)",
CS075-SIM-1,CS075," (Low utility people, should not exist, ) (People, have low utility,)",
CS075-SIM-2,CS075,No triples possible.,
CS076-SIM-1,CS076,"(Low utility people,should not exist,statement), (statement,has little bearing on practical morals,little bearing)",
CS076-SIM-2,CS076,"(low utility people, had not existed, None)",
CS077-SIM-1,CS077,"(New England political interests, feared, growth of the West), (New England political interests, established, themselves),(growth of the West, feared, New England political interests)",
CS077-SIM-2,CS077,"(A majority,oppose,purchase)",
CS077-SIM-3,CS077,N/A,
CS078-SIM-1,CS078,"(New England political interests, feared, growth of the West)",
CS078-SIM-2,CS078," (A majority of the Federalist Party, opposed, purchase)",
CS078-SIM-3,CS078,No possible triples can be formed from this sentence.,
CS079-SIM-1,CS079," (Mussolini, wanted, Cameroon)  (Mussolini, wanted, corridor to Libya)",
CS079-SIM-2,CS079,"   (Mussolini, wanted to control, Cameroon)   (Mussolini, wanted to control, corridor)   (Cameroon, have a corridor between, Libya)",
CS079-SIM-3,CS079,"(He, wanted to take over, Cameroon) (He, create a passageway between, Libya) (Cameroon, create a passageway between, Libya)",
CS079-SIM-4,CS079," (Mussolini, have ambitions, gain Cameroon)  (Mussolini, have ambitions, route linking it to Libya)",
CS080-SIM-1,CS080,"(Mussolini, sought to acquire, Cameroon)",
CS080-SIM-2,CS080,"(He, want, corridor), (corridor, link, Cameroon), (corridor, link, Libya)",
CS081-SIM-1,CS081," (These, convert to, Catholicism);  (These, flee, Spanish Inquisition);",
CS081-SIM-2,CS081,"(They,live in,New World)",
CS081-SIM-3,CS081,"(They, intermarried, Native Americans) (They, intermarried, old Christians)",
CS081-SIM-4,CS081," (American Southwest, populated by, groups) (groups, populated, American Southwest)",
CS082-SIM-1,CS082,"(converts,fled,Spanish Inquisition)",
CS082-SIM-2,CS082,"(They,came,New World) (They,live,New World)",
CS082-SIM-3,CS082,"(They,intermarried,Native Americans) (They,intermarried,old Christians)",
CS082-SIM-4,CS082," (The American Southwest, was populated by, these people)  (These people, populated, The American Southwest)",
CS083-SIM-1,CS083,"(He, attended, Dartmouth College)",
CS083-SIM-2,CS083,"(He, become associated with, Bishop Museum)",
CS083-SIM-3,CS083,"(He, Spend, 60 years), (He, Roam, Pacific)",
CS083-SIM-4,CS083,"(He, sought out, Polynesian settlement sites)",
CS083-SIM-5,CS083,"(He, excavated, relics)",
CS083-SIM-6,CS083,"(He,photographed,petroglyphs)",
CS084-SIM-1,CS084,"(He, attended, Dartmouth College)",
CS084-SIM-2,CS084,"(He,became associated with,Bishop Museum)",
CS084-SIM-3,CS084,"(He,spent,60 years), (He,roaming,Pacific)",
CS084-SIM-4,CS084,"(He, sought out, Polynesian settlement sites) (Polynesian settlement sites, sought out by, He)",
CS084-SIM-5,CS084,"(He, excavated, relics)",
CS084-SIM-6,CS084,"(He, photographed, petroglyphs)",
CS085-SIM-1,CS085,"(Catharina Ledeboer, create, series)",
CS085-SIM-2,CS085,"(Viacom International, produce, series)",
CS085-SIM-3,CS085," (Tatiana Rodriguez, executive produces, the series)",
CS086-SIM-1,CS086," (Catharina Ledeboer,create,series)",
CS086-SIM-2,CS086,"(Viacom International, produced, series)",
CS086-SIM-3,CS086," (Tatiana Rodriguez, is, executive producer)  (executive producer, of, series)",
CS087-SIM-1,CS087,"(A, consists of, straight sections) (A, consists of, sharp turns)",
CS087-SIM-2,CS087,"(Skiers, are reflected, from the edges of the run)",
CS087-SIM-3,CS087,"(In theory, follows, complementary angles)",
CS088-SIM-1,CS088,"(Duxford,houses,airfield), (collection,of,aircraft), (airfield,houses,collection)",
CS088-SIM-2,CS088," (UK,have,most significant aircraft collection)  (most significant aircraft collection,locates in,UK)",
CS088-SIM-3,CS088,"(Duxford airfield, is now home to, many unique aircraft) (many unique aircraft, are located at, Duxford airfield)",
CS089-SIM-1,CS089,"(Duxford, is home to, a large number of aircraft)",
CS089-SIM-2,CS089,"(collection,be,one of the most significant)",
CS089-SIM-3,CS089,"(These aircraft,are,remarkable), (These aircraft,are,unique)",
CS090-SIM-1,CS090,"(Jill,made,blueberry BBQ chicken)",
CS090-SIM-2,CS090,"(Christina,thought,chicken had great flavor)",
CS090-SIM-3,CS090,"(Gratin, was, delicious), (Gratin, had, too much cream and herbs)",
CS091-SIM-1,CS091,"(Jill,made,blueberry BBQ chicken)",
CS091-SIM-2,CS091,"(Christina, thought, chicken had great flavor)",
CS091-SIM-3,CS091,"(The Gratin, was, delicious)",
CS091-SIM-4,CS091,"1) (It, have, too much cream) 2) (It, have, too much herbs)",
CS092-SIM-1,CS092,"(She, feels, torn)",
CS092-SIM-2,CS092," (Her,has,grandmother)  (grandmother,is,dying)",
CS092-SIM-3,CS092,"(She,feels,responsible)",
CS092-SIM-4,CS092,"(The fairy godmother,has,replacement)",
CS092-SIM-5,CS092,"(Fairy tale world, in, good hands)",
CS093-SIM-1,CS093,"(She, feels, torn)",
CS093-SIM-2,CS093,"(Her, has, grandmother)(Grandmother, is, dying)",
CS093-SIM-3,CS093,"(She, feel, killing)",
CS093-SIM-4,CS093," (The fairy godmother, found, a replacement)",
CS093-SIM-5,CS093,"(The fairy godmother, can rest, .)",
CS093-SIM-6,CS093," ('The fairy tale world', 'is in', 'good hands')",
CS094-SIM-1,CS094,"(The Pechenegs, fought, horse archers)",
CS094-SIM-2,CS094,"(They, Fired, Arrows)",
CS094-SIM-3,CS094,"(They,rely_on,wagon laager)",
CS094-SIM-4,CS094,"(It,serve,rallying point)(It,serve,last defence)",
CS095-SIM-1,CS095," (French Army, had, 47 divisions), (January 1914, had, 47 divisions)",
CS095-SIM-2,CS095,"(French troops,were composed of,777,000), (colonial troops,were composed of,47,000)",
CS095-SIM-3,CS095,"(The troops, were organized into, 21 regional corps)",
CS095-SIM-4,CS095,"(Cavalry,Attached,There), (Field Artillery, Attached, There)",
CS096-SIM-1,CS096,"(McDuff, chose to use, piece of broomstick), (McDuff, chose to use, car)",
CS096-SIM-2,CS096,"(He, choked, Sullivan)",
CS096-SIM-3,CS096,"(Green,dumped,body) (McDuff,dumped,body)(Green & McDuff,dumped,bushes)",
CS097-SIM-1,CS097," (The Dan Ryan Expressway, was constructed, in the 1960s)",
CS097-SIM-2,CS097," (Hardin Square,was demolished,null) (Stanford Park,was demolished,null)",
CS097-SIM-3,CS097,"(Residents of Chinatown, waited for, a replacement), (a replacement, waited for, 30 years)",
CS098-SIM-1,CS098," (Dan Ryan Expressway, constructed, 1960s)  (1960s, construct, Dan Ryan Expressway)",
CS098-SIM-2,CS098,"(Hardin Square,demolished,Stanford Park)",
CS098-SIM-3,CS098,"(Residents, waited, 30 years) (Chinatown, had residents_waiting, 30 years)",
CS099-SIM-1,CS099,"(Hotaru, is, hero),(Hotaru, from, Seido)",
CS099-SIM-2,CS099,"(He, devotes himself to, preserving law and order)",
CS099-SIM-3,CS099,"(He, be described, as a zealot)",
CS100-SIM-1,CS100,"(Hotaru, is, hero), (Hotaru, from, Seido)",
CS100-SIM-2,CS100,"(He,devote,himself), (He,preserve,law and order)",
CS100-SIM-3,CS100,"(He,be described as,a zealot)",
CS101-SIM-1,CS101,"(Multiple births, occur, often)",
CS101-SIM-2,CS101,"(Rams,bred for,raising lambs for slaughter) (Rams,raising,lambs for slaughter)",
CS101-SIM-3,CS101,"(Commercial operations,rely on,multiple births)",
